number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_l2_leaf_reg,params_learning_rate,params_min_data_in_leaf,params_random_strength,state,rmse
71,0.07285359113142983,2026-07-27 05:11:53.570306,2026-07-27 05:12:01.665085,0 days 00:00:08.094779,0.7673854326029934,254,5,3.188399789753057,0.010842031446750432,12,0.7349702522328424,COMPLETE,0.2699140439685009
175,0.07285537713454224,2026-07-27 05:33:06.615932,2026-07-27 05:33:18.658810,0 days 00:00:12.042878,0.9202616707030175,254,6,2.07015846969607,0.010464916700910567,33,2.2336713096815988,COMPLETE,0.2699173524146646
197,0.07285547247861801,2026-07-27 05:39:02.873711,2026-07-27 05:39:13.076656,0 days 00:00:10.202945,0.9294785081234237,254,6,1.4754168843652096,0.011256875945008495,27,1.7215137127677378,COMPLETE,0.26991752903177296
54,0.07285617427280303,2026-07-27 05:09:24.774892,2026-07-27 05:09:33.435884,0 days 00:00:08.660992,0.6733018416252878,254,4,5.645381921696217,0.010197671139131654,17,0.8108868304884395,COMPLETE,0.2699188290445908
167,0.07285694116921865,2026-07-27 05:30:50.981458,2026-07-27 05:31:03.090091,0 days 00:00:12.108633,0.9819148646306636,254,6,2.122618634956002,0.011470735207795825,27,2.4051433841621943,COMPLETE,0.26992024964648104
81,0.0728578006731612,2026-07-27 05:13:35.518362,2026-07-27 05:13:43.945274,0 days 00:00:08.426912,0.7876760334987815,254,5,3.0904115225163364,0.010863817704027667,5,0.5478142573527478,COMPLETE,0.26992184178602735
112,0.07285884781062676,2026-07-27 05:19:17.579005,2026-07-27 05:19:31.035570,0 days 00:00:13.456565,0.8672711045698881,254,6,2.97743079949509,0.01125447194707936,6,2.3081029678389418,COMPLETE,0.2699237814840085
72,0.07285904954971183,2026-07-27 05:12:01.682629,2026-07-27 05:12:09.333168,0 days 00:00:07.650539,0.744635196376026,254,5,2.8302604021487294,0.012611211404997859,1,1.1630814982410138,COMPLETE,0.2699241551801391
82,0.07285934571703447,2026-07-27 05:13:43.953735,2026-07-27 05:13:50.654061,0 days 00:00:06.700326,0.7298642362036738,254,5,3.350064330297064,0.012982693577614378,4,0.6411165914603179,COMPLETE,0.2699247037916953
178,0.07285991268457268,2026-07-27 05:33:31.426330,2026-07-27 05:33:41.413036,0 days 00:00:09.986706,0.9009407025575072,254,6,2.493352823508421,0.01153905595017108,34,1.5242020564685228,COMPLETE,0.26992575402242125
21,0.07286060952234866,2026-07-27 05:05:17.976705,2026-07-27 05:05:24.259000,0 days 00:00:06.282295,0.7645132946098929,254,5,4.11655024621574,0.018150069429068463,19,1.5780527295855873,COMPLETE,0.26992704481461033
157,0.07286093119986073,2026-07-27 05:28:29.000492,2026-07-27 05:28:39.809031,0 days 00:00:10.808539,0.8207945859467799,254,6,2.904490072415381,0.01251402328823776,45,1.7501077677723313,COMPLETE,0.2699276406740531
90,0.07286103020099335,2026-07-27 05:14:36.917293,2026-07-27 05:14:43.777511,0 days 00:00:06.860218,0.6449654993124316,254,5,1.158064258844323,0.012981021911973936,1,0.7277523787394558,COMPLETE,0.2699278240585682
170,0.0728613574188117,2026-07-27 05:31:29.418582,2026-07-27 05:31:40.391711,0 days 00:00:10.973129,0.9370067578448488,254,6,2.262913686465962,0.01195358251219949,29,2.2041096485277496,COMPLETE,0.2699284301788378
23,0.07286193075198569,2026-07-27 05:05:32.778205,2026-07-27 05:05:40.239046,0 days 00:00:07.460841,0.8498296733153637,254,5,4.169996183723717,0.012939795453663984,13,0.9550367022327997,COMPLETE,0.2699294921863591
113,0.07286269204399815,2026-07-27 05:19:31.044608,2026-07-27 05:19:44.867957,0 days 00:00:13.823349,0.840557143689854,254,6,1.5762975913880077,0.010520466761212438,4,2.7055486047352866,COMPLETE,0.2699309023509501
