depth,learning_rate,l2_leaf_reg,min_data_in_leaf,random_strength,bagging_temperature,border_count,mean_mse,std_mse
4,0.01,1,5,5,1,254,0.07300049708289644,0.0003976103060540448
4,0.01,1,10,0.5,0,128,0.07354238590896074,0.0005253563144519434
4,0.01,1,10,0.5,0,254,0.07314852895765551,0.0004528940139253326
4,0.01,1,10,0.5,0.5,128,0.07342949293190605,0.0005063775140203262
4,0.01,1,10,0.5,0.5,254,0.07303191894219382,0.0004230734901719695
4,0.01,1,10,0.5,1,128,0.07338570219304483,0.0005139921361309256
4,0.01,1,10,0.5,1,254,0.07297895053395019,0.0004410328488542592
4,0.01,1,10,1,0,128,0.07351966234466242,0.0005288383609334767
4,0.01,1,10,1,0,254,0.0731211304260036,0.000453729757168829
4,0.01,1,10,1,0.5,128,0.07343444197629667,0.0005047997360708476
4,0.01,1,10,1,0.5,254,0.0730375059052147,0.0004250286098652646
4,0.01,1,10,1,1,128,0.0733885418644418,0.0005117686457101992
4,0.01,1,10,1,1,254,0.07296780508530343,0.000427325186798665
4,0.01,1,10,3,0,128,0.07351430511833738,0.000514893013093027
4,0.01,1,10,3,0,254,0.0731165217964781,0.0004580248367810174
4,0.01,1,10,3,0.5,128,0.07345275354675654,0.0004972257122524732
4,0.01,1,10,3,0.5,254,0.07305533322317564,0.0004339600842593122
4,0.01,1,10,3,1,128,0.07339883085403072,0.0004785874045935674
4,0.01,1,10,3,1,254,0.07297739023640243,0.00040741972311679107
4,0.01,1,10,5,0,128,0.07353157529362186,0.0005113874498652365
4,0.01,1,10,5,0,254,0.07315185142853867,0.00046630747482301284
4,0.01,1,10,5,0.5,128,0.07347459552493871,0.0004690118009490504
4,0.01,1,10,5,0.5,254,0.07307952679006072,0.00041363148123260414
4,0.01,1,10,5,1,128,0.07341614666834986,0.00046303942994038944
4,0.01,1,10,5,1,254,0.07300046127067299,0.0003976506443914896
4,0.01,1,20,0.5,0,128,0.07354238590896074,0.0005253563144519434
4,0.01,1,20,0.5,0,254,0.07314852895765551,0.0004528940139253326
4,0.01,1,20,0.5,0.5,128,0.07342949288237607,0.0005063775554897535
4,0.01,1,20,0.5,0.5,254,0.07303262450109696,0.00042295261632767665
4,0.01,1,20,0.5,1,128,0.07338570219304483,0.0005139921361309256
4,0.01,1,20,0.5,1,254,0.07297895053395019,0.0004410328488542592
4,0.01,1,20,1,0,128,0.07351966234466242,0.0005288383609334767
4,0.01,1,20,1,0,254,0.0731211304260036,0.000453729757168829
4,0.01,1,20,1,0.5,128,0.07343444197629667,0.0005047997360708476
4,0.01,1,20,1,0.5,254,0.07303776811475646,0.0004249197196876245
